learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
5008380.0,1640.03580367,0.0012680352714955461,5008380.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5008380.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,106453.68333333342,357329.35115295916,18703.333333333325,926.9113192951825
5085432.0,1665.635303686,0.0012878019578979512,5085432.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5085432.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,112876.68333333333,378518.92303027556,18703.333333333325,926.9113192951825
5162484.0,1690.934543645,0.0013073367981165567,5162484.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5162484.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,119301.43333333333,399728.75961637945,18703.333333333325,926.9113192951825
5239536.0,1715.868899424,0.0013265898925528324,5239536.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5239536.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,125718.30833333329,420958.6006335113,18703.333333333325,926.9113192951825
5316588.0,1741.489335343,0.0013463727446392897,5316588.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5316588.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,132141.48333333334,442201.6552267686,18703.333333333325,926.9113192951825
5393640.0,1766.702652352,0.001365841239343086,5393640.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5393640.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,138555.73333333328,463460.42083428724,18703.333333333325,926.9113192951825
5470692.0,1792.197018969,0.001385526746858124,5470692.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5470692.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,144975.93333333323,484728.7117732353,18703.333333333325,926.9113192951825
5547744.0,1817.416642609,0.0014050001112350448,5547744.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5547744.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,151395.9583333333,506006.9431129486,18703.333333333325,926.9113192951825
5624796.0,1842.660540319,0.0014244922188659003,5624796.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5624796.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,157830.33333333328,527289.5455759126,18703.333333333325,926.9113192951825
5701848.0,1867.841221761,0.0014439355139752494,5701848.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5701848.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,164240.73333333337,548587.0402352724,18703.333333333325,926.9113192951825
5778900.0,1893.18504172,0.0014635047766973909,5778900.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5778900.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,170662.50833333333,569887.9297993964,18703.333333333325,926.9113192951825
5855952.0,1919.357317782,0.0014837137328501042,5855952.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5855952.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,177084.10833333345,591194.9536868418,18703.333333333325,926.9113192951825
5933004.0,1945.601846379,0.0015039784788893477,5933004.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,5933004.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,183504.13333333345,612507.8980037923,18703.333333333325,926.9113192951825
6010056.0,1971.602641639,0.0015240550259233263,6010056.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,6010056.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,189932.20833333343,633823.3114810773,18703.333333333325,926.9113192951825
6087108.0,1996.557266903,0.0015433237714681503,6087108.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,6087108.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,196344.88333333336,655147.7883991436,18703.333333333325,926.9113192951825
6164160.0,2021.738818582,0.0015627677385321025,6164160.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,6164160.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,202769.80833333344,676472.5707826713,18703.333333333325,926.9113192951825
6241212.0,2047.853990272,0.0015829326014715566,6241212.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,6241212.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,209191.40833333327,697801.9901273492,18703.333333333325,926.9113192951825
6318264.0,2075.106935445,0.001603975997648823,6318264.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,6318264.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,215606.35833333325,719136.728222621,18703.333333333325,926.9113192951825
